Account Balance,Duration of Credit,Credit History,Purpose,Credit Amount,Savings,Employment,Installment rate,Personal Status,Guarantors,Residence,Property,Age,Other installments,Housing,Credit cards,Job,Dependents,Telephone,Foreign Worker,Creditability
None,6,Other credits,TV,1169,None,>7,4,Male-Single,None,4,Real estate,67,None,Own,2,Employee,1,Yes,Yes,Good
0-200,48,Existing credit paid back duly,TV,5951,<100,1-4,2,Female-Divorced/Married,None,2,Real estate,22,None,Own,1,Employee,1,None,Yes,Bad
No Account,12,Other credits,Education,2096,<100,4-7,2,Male-Single,None,3,Real estate,49,None,Own,1,Unemployed-Resident,2,None,Yes,Good
None,42,Existing credit paid back duly,Furniture,7882,<100,4-7,2,Male-Single,Guarantor,4,Life insurance,45,None,Free,1,Employee,2,None,Yes,Good
None,24,Delayed,New Car,4870,<100,1-4,3,Male-Single,None,4,None,53,None,Free,2,Employee,2,None,Yes,Bad
No Account,36,Existing credit paid back duly,Education,9055,None,1-4,2,Male-Single,None,4,None,35,None,Free,1,Unemployed-Resident,2,Yes,Yes,Good
No Account,24,Existing credit paid back duly,Furniture,2835,500-1000,>7,3,Male-Single,None,4,Life insurance,53,None,Own,1,Employee,1,None,Yes,Good
0-200,36,Existing credit paid back duly,Used Car,6948,<100,1-4,2,Male-Single,None,2,Car,35,None,Rent,1,Executive,1,Yes,Yes,Good
No Account,12,Existing credit paid back duly,TV,3059,>1000,4-7,2,Male-Divorced,None,4,Real estate,61,None,Own,1,Unemployed-Resident,1,None,Yes,Good
0-200,30,Other credits,New Car,5234,<100,Unemployed,4,Male-Married/Widowed,None,2,Car,28,None,Own,2,Executive,1,None,Yes,Bad
0-200,12,Existing credit paid back duly,New Car,1295,<100,<1,3,Female-Divorced/Married,None,1,Car,25,None,Rent,1,Employee,1,None,Yes,Bad
None,48,Existing credit paid back duly,Bussiness,4308,<100,<1,3,Female-Divorced/Married,None,4,Life insurance,24,None,Rent,1,Employee,1,None,Yes,Bad
0-200,12,Existing credit paid back duly,TV,1567,<100,1-4,1,Female-Divorced/Married,None,1,Car,22,None,Own,1,Employee,1,Yes,Yes,Good
None,24,Other credits,New Car,1199,<100,>7,4,Male-Single,None,4,Car,60,None,Own,2,Unemployed-Resident,1,None,Yes,Bad
None,15,Existing credit paid back duly,New Car,1403,<100,1-4,2,Female-Divorced/Married,None,4,Car,28,None,Rent,1,Employee,1,None,Yes,Good
None,24,Existing credit paid back duly,TV,1282,100-500,1-4,4,Female-Divorced/Married,None,2,Car,32,None,Own,1,Unemployed-Resident,1,None,Yes,Bad
No Account,24,Other credits,TV,2424,None,>7,4,Male-Single,None,4,Life insurance,53,None,Own,2,Employee,1,None,Yes,Good
None,30,No credit,Bussiness,8072,None,<1,2,Male-Single,None,3,Car,25,Bank,Own,3,Employee,1,None,Yes,Good
0-200,24,Existing credit paid back duly,Used Car,12579,<100,>7,4,Female-Divorced/Married,None,2,None,44,None,Free,1,Executive,1,Yes,Yes,Bad
No Account,24,Existing credit paid back duly,TV,3430,500-1000,>7,3,Male-Single,None,2,Car,31,None,Own,1,Employee,2,Yes,Yes,Good
No Account,9,Other credits,New Car,2134,<100,1-4,4,Male-Single,None,4,Car,48,None,Own,3,Employee,1,Yes,Yes,Good
None,6,Existing credit paid back duly,TV,2647,500-1000,1-4,2,Male-Single,None,3,Real estate,44,None,Rent,1,Employee,2,None,Yes,Good
None,10,Other credits,New Car,2241,<100,<1,1,Male-Single,None,3,Real estate,48,None,Rent,2,Unemployed-Resident,2,None,No,Good
0-200,12,Other credits,Used Car,1804,100-500,<1,3,Male-Single,None,4,Life insurance,44,None,Own,1,Employee,1,None,Yes,Good
No Account,10,Other credits,Furniture,2069,None,1-4,2,Male-Married/Widowed,None,1,Car,26,None,Own,2,Employee,1,None,No,Good
None,6,Existing credit paid back duly,Furniture,1374,<100,1-4,1,Male-Single,None,2,Real estate,36,Bank,Own,1,Unemployed-Resident,1,Yes,Yes,Good
No Account,6,No credit,TV,426,<100,>7,4,Male-Married/Widowed,None,4,Car,39,None,Own,1,Unemployed-Resident,1,None,Yes,Good
>200,12,All credit paid back duly,TV,409,>1000,1-4,3,Female-Divorced/Married,None,3,Real estate,42,None,Rent,2,Employee,1,None,Yes,Good
0-200,7,Existing credit paid back duly,TV,2415,<100,1-4,3,Male-Single,Guarantor,2,Real estate,34,None,Own,1,Employee,1,None,Yes,Good
None,60,Delayed,Bussiness,6836,<100,>7,3,Male-Single,None,4,None,63,None,Own,2,Employee,1,Yes,Yes,Bad
0-200,18,Existing credit paid back duly,Bussiness,1913,>1000,<1,3,Male-Married/Widowed,None,3,Real estate,36,Bank,Own,1,Employee,1,Yes,Yes,Good
None,24,Existing credit paid back duly,Furniture,4020,<100,1-4,2,Male-Single,None,2,Car,27,Stores,Own,1,Employee,1,None,Yes,Good
0-200,18,Existing credit paid back duly,New Car,5866,100-500,1-4,2,Male-Single,None,2,Car,30,None,Own,2,Employee,1,Yes,Yes,Good
No Account,12,Other credits,Bussiness,1264,None,>7,4,Male-Single,None,4,None,57,None,Rent,1,Unemployed-Resident,1,None,Yes,Good
>200,12,Existing credit paid back duly,Furniture,1474,<100,<1,4,Female-Divorced/Married,None,1,Life insurance,33,Bank,Own,1,Executive,1,Yes,Yes,Good
0-200,45,Other credits,TV,4746,<100,<1,4,Male-Single,None,2,Life insurance,25,None,Own,2,Unemployed-Resident,1,None,Yes,Bad
No Account,48,Other credits,Education,6110,<100,1-4,1,Male-Single,None,3,None,31,Bank,Free,1,Employee,1,Yes,Yes,Good
>200,18,Existing credit paid back duly,TV,2100,<100,1-4,4,Male-Single,Co-applicant,2,Real estate,37,Stores,Own,1,Employee,1,None,Yes,Bad
>200,10,Existing credit paid back duly,Appliances,1225,<100,1-4,2,Male-Single,None,2,Car,37,None,Own,1,Employee,1,Yes,Yes,Good
0-200,9,Existing credit paid back duly,TV,458,<100,1-4,4,Male-Single,None,3,Real estate,24,None,Own,1,Employee,1,None,Yes,Good
No Account,30,Existing credit paid back duly,TV,2333,500-1000,>7,4,Male-Single,None,2,Car,30,Bank,Own,1,Executive,1,None,Yes,Good
0-200,12,Existing credit paid back duly,TV,1158,500-1000,1-4,3,Male-Divorced,None,1,Car,26,None,Own,1,Employee,1,Yes,Yes,Good
0-200,18,Delayed,Repairs,6204,<100,1-4,2,Male-Single,None,4,Real estate,44,None,Own,1,Unemployed-Resident,2,Yes,Yes,Good
None,30,Other credits,Used Car,6187,100-500,4-7,1,Male-Married/Widowed,None,4,Car,24,None,Rent,2,Employee,1,None,Yes,Good
None,48,Other credits,Used Car,6143,<100,>7,4,Female-Divorced/Married,None,4,None,58,Stores,Free,2,Unemployed-Resident,1,None,Yes,Bad
