Time Out,Event,Wilayah,Gender,Metode Pembayaran,Durasi Pembayaran,Premi,Usia
27,0,3,Laki-laki,Bulanan,60-120,<=2.5jt,48
4,1,3,Laki-laki,Bulanan,>120,<=2.5jt,34
3,1,3,Perempuan,Triwulan,<=60,<=2.5jt,35
1,0,3,Perempuan,Bulanan,>120,<=2.5jt,41
7,1,3,Perempuan,Bulanan,60-120,<=2.5jt,49
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,38
12,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,43
6,1,3,Perempuan,Triwulan,<=60,<=2.5jt,25
1,0,3,Laki-laki,Bulanan,>120,<=2.5jt,40
12,1,3,Perempuan,Triwulan,<=60,<=2.5jt,22
30,0,3,Perempuan,Bulanan,60-120,<=2.5jt,22
3,1,3,Perempuan,Triwulan,<=60,<=2.5jt,44
6,1,3,Laki-laki,Semester,<=60,<=2.5jt,47
12,1,3,Perempuan,Semester,<=60,<=2.5jt,28
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,37
58,0,3,Perempuan,Bulanan,>120,<=2.5jt,31
1,1,2,Perempuan,Bulanan,>120,<=2.5jt,21
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,38
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,43
59,0,3,Laki-laki,Bulanan,60-120,<=2.5jt,40
7,0,3,Laki-laki,Bulanan,>120,<=2.5jt,29
6,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,48
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,38
3,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,41
3,0,3,Perempuan,Bulanan,60-120,<=2.5jt,20
1,0,3,Perempuan,Bulanan,>120,<=2.5jt,46
6,1,3,Laki-laki,Semester,<=60,<=2.5jt,22
9,0,3,Laki-laki,Bulanan,>120,<=2.5jt,28
1,0,3,Laki-laki,Bulanan,>120,<=2.5jt,34
8,1,3,Laki-laki,Bulanan,>120,<=2.5jt,20
38,0,3,Perempuan,Bulanan,60-120,<=2.5jt,48
1,1,3,Laki-laki,Bulanan,60-120,<=2.5jt,32
3,0,3,Laki-laki,Bulanan,60-120,<=2.5jt,39
15,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,33
1,0,3,Laki-laki,Bulanan,>120,<=2.5jt,48
60,0,2,Laki-laki,Bulanan,60-120,<=2.5jt,27
2,0,3,Laki-laki,Bulanan,>120,<=2.5jt,24
9,1,3,Perempuan,Bulanan,>120,<=2.5jt,35
37,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,21
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,46
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,27
5,1,2,Laki-laki,Bulanan,>120,<=2.5jt,43
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,40
2,1,3,Perempuan,Bulanan,>120,<=2.5jt,39
7,0,3,Laki-laki,Bulanan,>120,<=2.5jt,44
12,1,3,Perempuan,Tahunan,<=60,2.5jt-10jt,45
1,1,3,Laki-laki,Bulanan,60-120,<=2.5jt,47
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,50
7,0,3,Laki-laki,Bulanan,>120,<=2.5jt,36
1,1,3,Laki-laki,Bulanan,60-120,<=2.5jt,43
3,1,3,Perempuan,Triwulan,<=60,<=2.5jt,40
52,0,3,Laki-laki,Tahunan,<=60,<=2.5jt,44
7,1,3,Laki-laki,Bulanan,>120,<=2.5jt,41
23,0,2,Perempuan,Semester,<=60,>10jt,42
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,35
24,0,3,Perempuan,Bulanan,>120,<=2.5jt,26
37,0,3,Perempuan,Bulanan,>120,<=2.5jt,24
11,1,3,Laki-laki,Bulanan,>120,<=2.5jt,39
23,0,3,Perempuan,Bulanan,>120,<=2.5jt,25
4,1,3,Perempuan,Bulanan,>120,<=2.5jt,49
6,1,3,Perempuan,Triwulan,<=60,<=2.5jt,39
48,1,2,Laki-laki,Bulanan,60-120,<=2.5jt,39
29,0,2,Laki-laki,Tahunan,<=60,2.5jt-10jt,35
3,1,3,Perempuan,Triwulan,<=60,<=2.5jt,48
6,0,3,Laki-laki,Bulanan,>120,<=2.5jt,49
14,0,3,Laki-laki,Bulanan,>120,<=2.5jt,37
13,0,3,Perempuan,Triwulan,<=60,<=2.5jt,41
12,0,3,Perempuan,Bulanan,>120,<=2.5jt,40
35,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,40
54,0,3,Perempuan,Triwulan,<=60,<=2.5jt,32
1,0,3,Perempuan,Bulanan,>120,<=2.5jt,53
3,1,3,Laki-laki,Bulanan,>120,<=2.5jt,25
1,1,3,Laki-laki,Bulanan,60-120,<=2.5jt,29
6,1,2,Laki-laki,Bulanan,>120,<=2.5jt,46
8,1,3,Laki-laki,Bulanan,>120,<=2.5jt,19
3,1,3,Perempuan,Triwulan,<=60,<=2.5jt,48
52,0,3,Perempuan,Bulanan,>120,<=2.5jt,35
58,0,3,Perempuan,Triwulan,60-120,<=2.5jt,38
45,1,3,Laki-laki,Bulanan,>120,<=2.5jt,19
17,1,3,Laki-laki,Bulanan,>120,<=2.5jt,32
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,43
48,1,3,Perempuan,Triwulan,<=60,<=2.5jt,43
1,1,3,Laki-laki,Bulanan,60-120,<=2.5jt,26
1,1,3,Perempuan,Bulanan,60-120,<=2.5jt,35
39,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,45
9,1,3,Perempuan,Triwulan,<=60,<=2.5jt,33
26,0,2,Perempuan,Bulanan,60-120,<=2.5jt,35
20,1,3,Laki-laki,Bulanan,>120,<=2.5jt,40
40,0,2,Perempuan,Tahunan,<=60,<=2.5jt,38
3,1,2,Perempuan,Triwulan,<=60,<=2.5jt,41
4,1,3,Laki-laki,Bulanan,>120,<=2.5jt,43
6,1,3,Perempuan,Triwulan,<=60,<=2.5jt,25
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,26
52,0,3,Laki-laki,Bulanan,>120,<=2.5jt,31
15,0,3,Perempuan,Bulanan,>120,<=2.5jt,30
49,1,3,Laki-laki,Bulanan,>120,<=2.5jt,50
7,1,2,Laki-laki,Bulanan,>120,<=2.5jt,40
2,1,2,Laki-laki,Bulanan,>120,<=2.5jt,35
12,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,44
15,0,3,Perempuan,Bulanan,60-120,<=2.5jt,26
60,0,3,Perempuan,Bulanan,60-120,<=2.5jt,36
54,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,50
3,1,3,Perempuan,Bulanan,>120,<=2.5jt,44
3,1,3,Perempuan,Triwulan,<=60,<=2.5jt,39
24,0,3,Laki-laki,Bulanan,>120,<=2.5jt,49
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,18
39,0,3,Laki-laki,Bulanan,>120,<=2.5jt,48
24,0,3,Laki-laki,Bulanan,>120,<=2.5jt,36
1,1,3,Perempuan,Bulanan,60-120,<=2.5jt,43
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,36
55,0,3,Laki-laki,Bulanan,>120,<=2.5jt,37
16,1,3,Laki-laki,Bulanan,>120,<=2.5jt,30
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,35
2,1,3,Laki-laki,Bulanan,>120,<=2.5jt,21
3,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,49
25,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,46
1,0,3,Perempuan,Bulanan,>120,2.5jt-10jt,34
15,0,3,Perempuan,Bulanan,60-120,<=2.5jt,28
42,0,2,Perempuan,Bulanan,60-120,<=2.5jt,43
3,1,3,Laki-laki,Bulanan,>120,<=2.5jt,31
6,1,3,Perempuan,Triwulan,<=60,<=2.5jt,41
46,0,3,Laki-laki,Bulanan,>120,<=2.5jt,32
3,0,3,Perempuan,Bulanan,>120,<=2.5jt,31
12,1,3,Perempuan,Triwulan,<=60,<=2.5jt,46
6,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,34
6,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,48
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,43
3,0,3,Perempuan,Triwulan,<=60,<=2.5jt,27
27,1,2,Laki-laki,Bulanan,>120,<=2.5jt,30
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,36
2,1,3,Laki-laki,Bulanan,>120,<=2.5jt,35
54,0,3,Perempuan,Semester,<=60,2.5jt-10jt,35
3,1,3,Perempuan,Triwulan,<=60,<=2.5jt,39
8,1,3,Laki-laki,Bulanan,>120,<=2.5jt,28
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,25
47,0,3,Laki-laki,Triwulan,60-120,<=2.5jt,32
21,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,29
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,43
3,0,3,Laki-laki,Bulanan,>120,<=2.5jt,40
10,1,3,Laki-laki,Bulanan,>120,<=2.5jt,45
1,1,3,Laki-laki,Bulanan,60-120,<=2.5jt,32
54,1,3,Perempuan,Triwulan,<=60,<=2.5jt,37
33,0,3,Perempuan,Bulanan,60-120,<=2.5jt,30
1,0,2,Laki-laki,Bulanan,60-120,<=2.5jt,38
